epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,5137.22,1.14903,0.23729,0.17247,0.89706,1.50204,0.95822,0.83265,0.94224,0.68417,0.96982,0.84286,0.96808,0.96409,1.01695,0.15868,0.0293,0.65727,1.6041,0.0014852,0.0014852,0.0014852
28,5323.93,1.12917,0.24744,0.1619,0.87821,1.48126,0.94899,0.84949,0.95509,0.68328,0.9595,0.8699,0.97591,0.97036,1.02771,0.16133,0.0306,0.62319,1.60343,0.0014654,0.0014654,0.0014654
29,5510.68,1.11075,0.23495,0.16289,0.85547,1.46261,0.96022,0.85306,0.95432,0.70956,0.96695,0.8602,0.97179,0.96919,0.96356,0.15293,0.01899,0.6052,1.54312,0.0014456,0.0014456,0.0014456
30,5698.35,1.0994,0.21135,0.16504,0.83743,1.45543,0.95049,0.84592,0.95663,0.69774,0.95023,0.86703,0.97247,0.96847,1.00346,0.1647,0.02016,0.60295,1.59641,0.0014258,0.0014258,0.0014258
31,5885.23,1.11861,0.21717,0.15989,0.84484,1.48006,0.95668,0.89021,0.96783,0.70753,0.96617,0.93242,0.98325,0.98018,1.01057,0.13276,0.01771,0.58416,1.59566,0.001406,0.001406,0.001406
32,6072.9,1.11006,0.19892,0.148,0.82662,1.46306,0.9409,0.86918,0.95526,0.71813,0.94656,0.88569,0.97019,0.96762,0.95655,0.13488,0.0242,0.57607,1.52741,0.0013862,0.0013862,0.0013862
33,6259.63,1.08275,0.20019,0.14674,0.81217,1.4419,0.94993,0.89055,0.9677,0.72576,0.96168,0.90905,0.97959,0.97858,0.95242,0.13361,0.01331,0.54907,1.53397,0.0013664,0.0013664,0.0013664
34,6446.37,1.093,0.19146,0.13781,0.82239,1.45386,0.95928,0.8773,0.97103,0.71139,0.95314,0.9199,0.98303,0.98163,0.99381,0.11921,0.01841,0.56909,1.54362,0.0013466,0.0013466,0.0013466
35,6633.17,1.08593,0.20007,0.13765,0.80415,1.44271,0.9659,0.90816,0.97627,0.72676,0.97095,0.92908,0.98566,0.98352,0.95012,0.11754,0.02544,0.54208,1.53586,0.0013268,0.0013268,0.0013268
36,6820.34,1.08574,0.20508,0.14556,0.82158,1.4439,0.97681,0.88102,0.9663,0.73553,0.96427,0.91276,0.98279,0.98108,0.90156,0.12188,0.01383,0.54693,1.47814,0.001307,0.001307,0.001307
37,7007.35,1.0494,0.17652,0.1386,0.77405,1.41599,0.95852,0.89235,0.97348,0.73285,0.95509,0.92219,0.98343,0.98205,0.93258,0.10998,0.01755,0.53429,1.50519,0.0012872,0.0012872,0.0012872
38,7193.93,1.0475,0.17602,0.13101,0.7693,1.41654,0.97485,0.90204,0.97798,0.73091,0.96975,0.92704,0.98677,0.98524,0.96128,0.11335,0.02341,0.54374,1.54229,0.0012674,0.0012674,0.0012674
39,7380.48,1.05258,0.18174,0.12202,0.78113,1.42061,0.95503,0.89923,0.97761,0.7417,0.96091,0.92806,0.98729,0.98447,0.88552,0.11331,0.01742,0.52255,1.45646,0.0012476,0.0012476,0.0012476
40,7567.31,1.04122,0.16761,0.11764,0.76344,1.40613,0.97051,0.90674,0.98276,0.75461,0.95756,0.94396,0.98979,0.98888,0.8811,0.09777,0.01025,0.49674,1.45615,0.0012278,0.0012278,0.0012278
41,7754.36,1.02092,0.16265,0.12588,0.74925,1.39399,0.96766,0.91582,0.98018,0.75916,0.97185,0.93343,0.98752,0.98591,0.85887,0.10569,0.02225,0.50575,1.42294,0.001208,0.001208,0.001208
42,7941.78,1.01765,0.1546,0.11676,0.73835,1.40155,0.97605,0.91493,0.98165,0.75502,0.96633,0.93418,0.98902,0.98695,0.89605,0.09401,0.01173,0.50512,1.46959,0.0011882,0.0011882,0.0011882
43,8127.99,1.013,0.16389,0.11627,0.73879,1.3837,0.97136,0.90765,0.97882,0.75593,0.9676,0.94286,0.98897,0.98727,0.86634,0.0989,0.01312,0.49778,1.43677,0.0011684,0.0011684,0.0011684
44,8314.4,1.01806,0.16254,0.11494,0.74525,1.39697,0.96905,0.92959,0.98586,0.74884,0.96725,0.95051,0.99065,0.98872,0.92581,0.10213,0.01685,0.50282,1.5076,0.0011486,0.0011486,0.0011486
45,8500.83,1.00422,0.15527,0.11132,0.73484,1.38421,0.97505,0.91709,0.98266,0.7717,0.97107,0.94184,0.989,0.98679,0.84567,0.0955,0.0186,0.48923,1.42059,0.0011288,0.0011288,0.0011288
46,8687.44,1.01436,0.15331,0.10176,0.74581,1.38942,0.95672,0.92908,0.98422,0.76028,0.96392,0.94061,0.98872,0.9859,0.86608,0.09807,0.01144,0.4912,1.42806,0.001109,0.001109,0.001109
47,8873.98,0.98087,0.13348,0.09886,0.71772,1.36223,0.97084,0.9342,0.98635,0.76332,0.97545,0.94949,0.99105,0.99016,0.88546,0.0794,0.0103,0.48298,1.44015,0.0010892,0.0010892,0.0010892
48,9059.85,0.97389,0.14866,0.09404,0.71343,1.36846,0.97291,0.93265,0.98684,0.76964,0.97427,0.94675,0.99106,0.99,0.86108,0.08225,0.01387,0.46643,1.42062,0.0010694,0.0010694,0.0010694
49,9246.33,0.97481,0.13934,0.09841,0.69198,1.37357,0.96599,0.93469,0.98565,0.77611,0.96898,0.94133,0.9881,0.98586,0.83587,0.10579,0.00958,0.47882,1.40622,0.0010496,0.0010496,0.0010496
50,9432.88,0.97574,0.14632,0.08808,0.70564,1.3696,0.96963,0.94471,0.98874,0.77929,0.97211,0.9602,0.99195,0.9909,0.81916,0.08105,0.02197,0.46723,1.38233,0.0010298,0.0010298,0.0010298
51,9619.61,0.9656,0.13408,0.09062,0.68909,1.35638,0.96561,0.94543,0.98904,0.79284,0.97857,0.95532,0.99226,0.99178,0.79926,0.06752,0.0123,0.46274,1.36701,0.00101,0.00101,0.00101
52,9806.83,0.96964,0.13191,0.08233,0.68905,1.35585,0.96305,0.95153,0.98981,0.78215,0.96601,0.95699,0.99111,0.98999,0.84808,0.07751,0.01585,0.47139,1.41222,0.0009902,0.0009902,0.0009902
53,9994.18,0.95843,0.12831,0.08427,0.68724,1.3322,0.96677,0.94991,0.99049,0.79403,0.96947,0.96531,0.99257,0.99144,0.81689,0.07744,0.01046,0.44097,1.37843,0.0009704,0.0009704,0.0009704
54,10184,0.94914,0.12071,0.08296,0.66667,1.33384,0.96941,0.95394,0.99031,0.78934,0.97749,0.9648,0.99274,0.99206,0.80694,0.06774,0.01237,0.44388,1.3795,0.0009506,0.0009506,0.0009506
55,10372.8,0.95964,0.12848,0.07734,0.68821,1.34204,0.97711,0.95828,0.99179,0.8018,0.98284,0.96412,0.99318,0.99133,0.7947,0.07742,0.01176,0.43627,1.35205,0.0009308,0.0009308,0.0009308
56,10562.6,0.93421,0.12363,0.08005,0.6681,1.33066,0.97751,0.95867,0.99213,0.79984,0.9806,0.96888,0.99374,0.99238,0.78833,0.07232,0.00607,0.43677,1.34991,0.000911,0.000911,0.000911
57,10751.2,0.9345,0.13001,0.08394,0.66708,1.33209,0.98409,0.96633,0.99283,0.8057,0.98658,0.97486,0.99425,0.99357,0.78058,0.06358,0.00534,0.42121,1.33891,0.0008912,0.0008912,0.0008912
58,10940.6,0.92742,0.1135,0.07535,0.65043,1.32778,0.98787,0.95588,0.99243,0.80893,0.99022,0.96378,0.99365,0.99322,0.76328,0.05972,0.0117,0.42021,1.31993,0.0008714,0.0008714,0.0008714
59,11129.2,0.93487,0.11301,0.07213,0.65703,1.33284,0.97907,0.95714,0.99143,0.80038,0.97698,0.97458,0.99356,0.99277,0.75718,0.06375,0.0069,0.42682,1.30781,0.0008516,0.0008516,0.0008516
60,11318.3,0.93033,0.11729,0.07359,0.65691,1.32638,0.983,0.9648,0.99325,0.80251,0.98666,0.975,0.99429,0.99393,0.78229,0.06315,0.00881,0.4107,1.33357,0.0008318,0.0008318,0.0008318
61,11507.5,0.91023,0.12505,0.07332,0.65306,1.30562,0.98251,0.95153,0.99162,0.80547,0.97691,0.97147,0.99357,0.99277,0.75585,0.06163,0.00952,0.41873,1.31059,0.000812,0.000812,0.000812
62,11696.1,0.91384,0.11464,0.07395,0.63287,1.30744,0.97262,0.97347,0.99291,0.81507,0.97868,0.98356,0.99398,0.9934,0.75903,0.06273,0.01065,0.40881,1.31322,0.0007922,0.0007922,0.0007922
